x, y
0.091298705,1.391655473
0.070389615,1.483176371
0.080389611,1.434724173
0.060129872,1.515477768
0.049870129,1.547779267
0.040259747,1.558546262
0.030129873,1.558546262
0.019999998,1.423956767
0.012337668,1.004037687
0.008051949,0.481830407
0.007012984,0.002691929
0.008311686,-0.503364654
0.012077922,-1.004037739
0.019999998,-1.413189721
0.030259741,-1.569313617
0.040129869,-1.569313617
0.050000007,-1.547779215
0.06025974,-1.515477819
0.070129879,-1.472409016
0.080259743,-1.445491117
0.089740267,-1.397038817
