x, y
0.09486521181001284, 1.481308411214953
0.08767650834403082, 1.5140185489832794
0.08267008985879333, 1.5186915887850465
0.0761232349165597, 1.5373830349645878
0.07008985879332479, 1.5514018691588785
0.06405648267008986, 1.55607476635514
0.0595635430038511, 1.5747663551401865
0.053401797175866496, 1.5841120069272048
0.048138647116194644, 1.588785046728972
0.041335044929396665, 1.588785046728972
0.03555840821566111, 1.5794392523364484
0.02965340179717587, 1.546728900659864
0.023491655969191273, 1.495327102803738
0.020154043645699615, 1.420560605058046
0.017843388960205393, 1.3504671471141205
0.015917843388960205, 1.2710280373831773
0.014377406931964057, 1.1728971962616819
0.012836978310032896, 1.088785046728972
0.010526315789473684, 0.967289719626168
0.008857509627727857, 0.8551401869158877
0.007188703465982028, 0.7242990654205608
0.006418493072548942, 0.5747663551401869
0.005519897304236201, 0.4018691588785046
0.005776644548800546, 0.20093429422824172
0.0065468549422336335, 0.014018406377774406
0.007830551989730424, -0.1822429906542058
0.009114249037227216, -0.35046728971962615
0.010526315789473684, -0.49065420560747675
0.01258023106546855, -0.6588785046728972
0.014377406931964057, -0.8084112149532711
0.016174582798459566, -0.9345794392523364
0.018998716302952506, -1.0700934579439252
0.02233632862644416, -1.1775703786689544
0.025802310654685495, -1.2616822429906542
0.030166888451239573, -1.3037383177570094
0.03504492939666239, -1.2990654205607477
0.040693196405648266, -1.2943928085754965
0.04595635430038511, -1.280373831775701
0.05134788973493662, -1.266355140186916
0.05661103979460848, -1.2383177570093458
0.0626444159178434, -1.219626168224299
0.0681643132220796, -1.1962616822429908
0.07329910141206676, -1.1775703786689544
0.07766367137355584, -1.1588785046728973
0.08189987163029526, -1.1308414067063377
0.08600770218228498, -1.1214953271028039
